CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
C1,Number,Item,,30,30,
C2,Number,Item,"IS_DISC == FALSE",20,20,
C3,Number,Item,"IS_DISC == TRUE ",10,10,
C4,Number,Stimulus,,4,4,
C7,Number,Item,Per Stimulus,5,5,
C5,Number,Stimulus,CONTENTCAT == 1,2,2,
C6,Number,Stimulus,CONTENTCAT == 2,2,2,
C8,Number,Item,"IS_DISC == FALSE & CONTENTCAT == 1",10,10,
C9,Number,Item,"IS_DISC == FALSE & CONTENTCAT == 2",10,10,
C10,Number,Item,"IS_DISC == TRUE  & CONTENTCAT == 1",5,5,
C11,Number,Item,"IS_DISC == TRUE  & CONTENTCAT == 2",5,5,
C12,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 == 2  & ITEMTYPE == 'MC'",1,2,
C13,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 == 4  & ITEMTYPE == 'MC'",1,2,
C14,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 == 2  & ITEMTYPE == 'MC'",1,1,
C15,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 == 4  & ITEMTYPE == 'MC'",1,1,
C16,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 %in% c(1, 3, 5, 6, 7) & ITEMTYPE == 'MC'",3,6,
C17,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 %in% c(1, 3, 5, 6, 7) & ITEMTYPE == 'MC'",2,3,
C18,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 %in% c(2, 4) & ITEMTYPE == 'CR'",2,2,
C19,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 %in% c(2, 4) & ITEMTYPE == 'CR'",1,1,
C20,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 == 9   & ITEMTYPE == 'MC'",1,2,
C21,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 == 11  & ITEMTYPE == 'MC'",1,2,
C22,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 == 9   & ITEMTYPE == 'MC'",1,1,
C23,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 == 11  & ITEMTYPE == 'MC'",1,1,
C24,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 %in% c(8, 10, 12, 13, 14) & ITEMTYPE == 'MC'",3,6,
C25,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 %in% c(8, 10, 12, 13, 14) & ITEMTYPE == 'MC'",2,3,
C26,Number,Item,"IS_DISC == FALSE & TESTINGLEVEL2 %in% c(9, 11) & ITEMTYPE == 'CR'",2,2,
C27,Number,Item,"IS_DISC == TRUE  & TESTINGLEVEL2 %in% c(9, 11) & ITEMTYPE == 'CR'",1,1,
C28,Number,Item,"IS_DISC == FALSE & DOKLEVELCODE == 2",10,20,
C29,Number,Item,"IS_DISC == TRUE  & DOKLEVELCODE == 2",5,10,
C_DISC_FIRST,Order,Item,IS_DISC,,,
